Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2
Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
11.900,0.000,0.00,0.0,11.900,0.425,0.00,0.0
11.950,0.000,0.00,0.0,11.950,0.424,-4.25E-5,0.0
12.000,0.000,0.00,0.0,12.000,0.425,0.00,0.0
12.050,0.000,0.00,0.0,12.050,0.425,0.00,0.0
12.100,0.000,0.00,0.0,12.100,0.425,4.25E-5,0.0
12.150,0.000,0.00,0.0,12.150,0.425,0.00,-4.2E-4
12.200,0.000,0.00,0.0,12.200,0.425,0.00,0.0
12.250,0.000,0.00,0.0,12.250,0.425,4.25E-5,0.0
12.300,0.000,0.00,0.0,12.300,0.425,0.00,-4.2E-4
12.350,0.000,0.00,0.0,12.350,0.424,0.00,0.0
12.400,0.000,0.00,0.0,12.400,0.425,0.00,-4.2E-4
12.450,0.000,0.00,0.0,12.450,0.424,-4.25E-5,0.0
12.500,0.000,0.00,0.0,12.500,0.425,0.00,4.2E-4
12.550,0.000,0.00,0.0,12.550,0.425,0.00,0.0
12.600,0.000,0.00,0.0,12.600,0.425,0.00,0.0
12.650,0.000,0.00,0.0,12.650,0.425,0.00,0.0
12.700,0.000,0.00,0.0,12.700,0.425,0.00,0.0
12.750,0.000,0.00,0.0,12.750,0.425,0.00,0.0
12.800,0.000,0.00,0.0,12.800,0.425,0.00,0.0
12.850,0.000,0.00,0.0,12.850,0.425,0.00,0.0
12.900,0.000,0.00,0.0,12.900,0.425,0.00,0.0
12.950,0.000,0.00,0.0,12.950,0.425,0.00,4.2E-4
13.000,0.000,0.00,0.0,13.000,0.425,4.25E-5,0.0
13.050,0.000,0.00,0.0,13.050,0.425,0.00,-4.2E-4
13.100,0.000,0.00,0.0,13.100,0.424,0.00,0.0
13.150,0.000,0.00,0.0,13.150,0.425,0.00,-4.2E-4
13.200,0.000,0.00,,13.200,0.424,-4.25E-5,0.0
13.250,0.000,,,13.250,0.425,0.00,0.0
,,,,13.300,0.425,0.00,0.0
,,,,13.350,0.424,-4.25E-5,0.0
,,,,13.400,0.425,0.00,4.2E-4
,,,,13.450,0.425,0.00,0.0
,,,,13.500,0.425,0.00,4.2E-4
,,,,13.550,0.425,4.25E-5,0.0
,,,,13.600,0.425,0.00,0.0
,,,,13.650,0.424,0.00,0.0
,,,,13.700,0.424,0.00,0.0
,,,,13.750,0.425,4.24E-5,0.0
,,,,13.800,0.424,0.00,-4.2E-4
,,,,13.850,0.424,0.00,
,,,,13.900,0.424,,
